customer_id,first_name,last_name,date_of_birth,signup_date,city,occupation,monthly_income,credit_score,email,age
CUST100000,Robert,Jones,1958-04-23,2023-07-05,Durban,Entrepreneur,8996.01,788.0,robert.jones916@outlook.com,68.3
CUST100001,Wei,Smith,1985-06-09,2023-03-28,Pretoria,Sales Rep,21230.35,644.0,wei.smith380@outlook.com,41.2
CUST100002,Kagiso,Mokoena,1991-10-11,2017-07-05,Nelspruit,Student,9423.48,650.0,kagiso.mokoena7@gmail.com,34.8
CUST100003,Joseph,Patel,1955-03-02,2015-05-06,Cape Town,Unknown,91575.89,698.0,joseph.patel751@outlook.com,71.5
CUST100004,Susan,Khan,1947-09-05,2018-09-07,Cape Town,Engineer,30561.45,650.0,susan.khan126@webmail.co.za,78.9
CUST100005,Priya,Pretorius,1971-10-25,2016-10-26,Pretoria,Teacher,29012.95,700.0,priya.pretorius103@outlook.com,54.8
CUST100006,Robert,Ndlovu,1992-03-19,2019-02-08,East London,Civil Servant,30922.65,660.0,robert.ndlovu895@yahoo.com,34.4
CUST100007,Amara,Van Der Merwe,1984-09-11,2026-05-05,Nelspruit,Consultant,38665.86,771.0,amara.van der merwe101@gmail.com,41.9
CUST100008,Michael,Patel,1987-10-25,2017-04-02,Bloemfontein,Artisan,27289.63,545.0,michael.patel507@outlook.com,38.8
CUST100009,Patricia,Miller,1969-07-28,2018-10-09,Port Elizabeth,Manager,10528.78,488.0,patricia.miller519@yahoo.com,57.0
CUST100010,Thabo,Van Der Merwe,1959-05-02,2023-05-26,Nelspruit,Entrepreneur,59048.04,682.0,thabo.van der merwe600@outlook.com,67.3
CUST100011,Sofia,Johnson,1977-06-09,2020-11-23,Cape Town,Artisan,56811.56,725.0,sofia.johnson788@gmail.com,49.2
CUST100012,Chidi,Mokoena,1957-06-20,2015-05-07,Kimberley,Accountant,25853.26,676.0,chidi.mokoena197@yahoo.com,69.2
CUST100013,Wei,Pretorius,1989-04-19,2016-11-14,Pretoria,Artisan,25053.35,711.0,wei.pretorius271@webmail.co.za,37.3
CUST100014,Amara,Chen,1957-01-06,2025-10-31,Durban,Engineer,4181.16,697.0,amara.chen991@webmail.co.za,69.6
CUST100015,Mei,Pretorius,1962-10-08,2016-12-03,Kimberley,Accountant,12754.06,517.0,mei.pretorius889@yahoo.com,63.9
CUST100016,Thabo,Johnson,1975-11-25,2022-10-05,East London,Accountant,36728.55,675.0,thabo.johnson687@webmail.co.za,50.7
CUST100017,John,Dlamini,1974-09-09,2024-05-03,Port Elizabeth,Retired,55291.28,769.0,john.dlamini294@webmail.co.za,51.9
CUST100018,Raj,Silva,1981-08-26,2018-01-27,Pretoria,Retired,41660.23,665.0,raj.silva535@webmail.co.za,45.0
CUST100019,Joseph,Chen,1971-09-07,2023-05-26,Port Elizabeth,Teacher,25708.35,532.0,joseph.chen252@yahoo.com,54.9
CUST100020,Thabo,Botha,2001-01-31,2016-12-19,Polokwane,Unknown,85436.07,620.0,thabo.botha857@webmail.co.za,25.5
CUST100021,Barbara,Ndlovu,1996-03-26,2018-04-19,Cape Town,Entrepreneur,49173.26,700.0,barbara.ndlovu131@webmail.co.za,30.4
CUST100022,Jennifer,Patel,1998-08-16,2018-12-08,Cape Town,Sales Rep,21241.33,812.0,jennifer.patel618@outlook.com,28.0
CUST100023,Fatima,Martinez,1983-05-26,2026-07-16,Pretoria,Accountant,99634.76,474.0,fatima.martinez852@webmail.co.za,43.2
CUST100024,Mei,Botha,1983-09-26,2017-06-26,Port Elizabeth,Sales Rep,13936.96,683.0,mei.botha13@yahoo.com,42.9
CUST100025,Kagiso,Williams,1982-02-28,2016-06-30,Nelspruit,Consultant,11124.4,566.0,kagiso.williams207@gmail.com,44.5
CUST100026,Richard,Garcia,1971-07-12,2025-09-20,Durban,Artisan,20896.5,696.0,richard.garcia922@gmail.com,55.1
CUST100027,Raj,Williams,1964-08-25,2016-11-15,Polokwane,Manager,17065.53,703.0,raj.williams246@yahoo.com,62.0
CUST100028,Naledi,Patel,1981-02-10,2025-08-03,Kimberley,Unknown,21612.8,629.0,naledi.patel465@webmail.co.za,45.5
CUST100029,Joseph,Garcia,1946-07-23,2022-07-14,Port Elizabeth,Artisan,43427.77,650.0,joseph.garcia310@outlook.com,80.1
CUST100030,Joseph,Miller,1945-06-16,2021-06-09,Kimberley,Student,26360.24,753.0,joseph.miller158@outlook.com,81.2
CUST100031,Linda,Van Der Merwe,1996-12-12,2023-09-14,Nelspruit,Driver,26769.59,635.0,linda.van der merwe855@webmail.co.za,29.7
CUST100032,Robert,Davis,1947-11-01,2023-05-29,Polokwane,Artisan,27869.52,530.0,robert.davis49@webmail.co.za,78.8
CUST100033,Naledi,Brown,1977-01-04,2016-12-04,Pretoria,Consultant,6718.4,778.0,naledi.brown703@webmail.co.za,49.6
CUST100034,Ahmed,Smith,1982-07-07,2026-07-29,Pretoria,Technician,10838.32,725.0,ahmed.smith280@yahoo.com,44.1
CUST100035,Robert,Jones,1957-02-02,2025-11-28,Nelspruit,Engineer,21350.13,701.0,robert.jones415@webmail.co.za,69.5
CUST100036,Priya,Pretorius,1999-08-21,2025-05-20,Port Elizabeth,Driver,16223.93,588.0,priya.pretorius331@yahoo.com,27.0
