customer_id,first_name,last_name,date_of_birth,signup_date,city,occupation,monthly_income,credit_score,email
CUST100000,ROBERT,Jones,1958-04-23,2023-07-05,Durban,Entrepreneur,8996.01,788.0,robert.jones916@outlook.com
CUST100001,Wei,Smith,1985-06-09,2023-03-28,Pretoria,Sales Rep,21230.35,644.0,wei.smith380@outlook.com
CUST100002,Kagiso,Mokoena,1991-10-11,2017-07-05,Nelspruit,Student,9423.48,869.0,kagiso.mokoena7@gmail.com
CUST100003,Joseph,Patel,1955-03-02,2015-05-06,Cape Town,,91575.89,698.0,joseph.patel751@outlook.com
CUST100004,Susan,Khan,1947-09-05,2018-09-07,Cape Town  ,Engineer,30561.45,999.0,susan.khan126@webmail.co.za
CUST100005,Priya,Pretorius,1971-10-25,2016-10-26,Pretoria,Teacher,29012.95,700.0,priya.pretorius103@outlook.com
CUST100006,Robert,Ndlovu,1992-03-19,2019-02-08,East London,Civil Servant,30922.65,660.0,robert.ndlovu895@yahoo.com
CUST100007,Amara,Van der Merwe,1984-09-11,2026-05-05,Nelspruit,Consultant,38665.86,771.0,amara.van der merwe101@gmail.com
CUST100008,Michael,Patel,1987-10-25,2017-04-02,Bloemfontein,Artisan,,545.0,michael.patel507@outlook.com
CUST100009,Patricia,Miller,1969-07-28,2018-10-09,Port Elizabeth,Manager,10528.78,488.0,patricia.miller519@yahoo.com
CUST100010,THABO,Van der Merwe,1959-05-02,2023-05-26,Nelspruit,Entrepreneur,59048.04,682.0,thabo.van der merwe600@outlook.com
CUST100011,Sofia,Johnson,1977-06-09,2020-11-23,Cape Town,Artisan,56811.56,725.0,sofia.johnson788@gmail.com
CUST100012,Chidi,Mokoena,1957-06-20,2015-05-07,Kimberley,Accountant,25853.26,676.0,chidi.mokoena197@yahoo.com
CUST100013,WEI,Pretorius,1989-04-19,2016-11-14,pretoria,Artisan,25053.35,711.0,wei.pretorius271@webmail.co.za
CUST100014,Amara,Chen,1957-01-06,2025-10-31,Durban,Engineer,4181.16,697.0,amara.chen991@webmail.co.za
CUST100015,Mei,Pretorius,1962-10-08,2016-12-03,Kimberley,Accountant,12754.06,517.0,mei.pretorius889@yahoo.com
CUST100016,Thabo,Johnson,1975-11-25,2022-10-05,East London,Accountant,36728.55,675.0,thabo.johnson687@webmail.co.za
CUST100017,John,Dlamini,1974-09-09,2024-05-03,Port Elizabeth  ,Retired,55291.28,769.0,john.dlamini294@webmail.co.za
CUST100018,RAJ,Silva,1981-08-26,2018-01-27,Pretoria  ,Retired,41660.23,665.0,raj.silva535@webmail.co.za
CUST100019,Joseph,Chen,1971-09-07,2023-05-26,Port Elizabeth,Teacher,25708.35,532.0,joseph.chen252@yahoo.com
CUST100020,Thabo,Botha,2001-01-31,2016-12-19,Polokwane,,85436.07,620.0,thabo.botha857@webmail.co.za
CUST100021,Barbara,Ndlovu,1996-03-26,2018-04-19,Cape Town,Entrepreneur,49173.26,700.0,barbara.ndlovu131@webmail.co.za
CUST100022,Jennifer,Patel,1998-08-16,2018-12-08,Cape Town,Sales Rep,21241.33,812.0,jennifer.patel618@outlook.com
CUST100023,FATIMA,Martinez,1983-05-26,2026-07-16,pretoria,Accountant,99634.76,474.0,fatima.martinez852@webmail.co.za
CUST100024,Mei,Botha,1983-09-26,2017-06-26,Port Elizabeth,Sales Rep,13936.96,683.0,mei.botha13@yahoo.com
CUST100025,Kagiso,Williams,1982-02-28,2016-06-30,Nelspruit,Consultant,11124.4,566.0,kagiso.williams207@gmail.com
CUST100026,Richard,Garcia,1971-07-12,2025-09-20,durban,Artisan,20896.5,696.0,richard.garcia922@gmail.com
CUST100027,RAJ,Williams,1964-08-25,2016-11-15,Polokwane,Manager,17065.53,703.0,raj.williams246@yahoo.com
CUST100028,Naledi,Patel,1981-02-10,2025-08-03,Kimberley,,21612.8,629.0,naledi.patel465@webmail.co.za
CUST100029,Joseph,Garcia,1946-07-23,2022-07-14,Port Elizabeth,Artisan,43427.77,,joseph.garcia310@outlook.com
CUST100030,Joseph,Miller,1945-06-16,2021-06-09,Kimberley,Student,26360.24,753.0,joseph.miller158@outlook.com
CUST100031,Linda,Van der Merwe,1996-12-12,2023-09-14,Nelspruit,Driver,26769.59,635.0,linda.van der merwe855@webmail.co.za
CUST100032,Robert,Davis,1947-11-01,2023-05-29,Polokwane,Artisan,27869.52,530.0,robert.davis49@webmail.co.za
CUST100033,Naledi,Brown,1977-01-04,2016-12-04,Pretoria,Consultant,6718.4,778.0,naledi.brown703@webmail.co.za
CUST100034,Ahmed,Smith,1982-07-07,2026-07-29,pretoria,Technician,10838.32,725.0,ahmed.smith280@yahoo.com
CUST100035,Robert,Jones,1957-02-02,2025-11-28,Nelspruit  ,Engineer,21350.13,701.0,robert.jones415@webmail.co.za
CUST100036,Priya,Pretorius,1999-08-21,2025-05-20,Port Elizabeth  ,Driver,16223.93,588.0,priya.pretorius331@yahoo.com
CUST100037,Raj,Khumalo,1956-08-06,2022-03-17,Johannesburg,Manager,23410.21,739.0,raj.khumalo907@yahoo.com
CUST100038,William,Nkosi,1998-12-15,2021-01-20,Polokwane,Entrepreneur,62472.21,834.0,william.nkosi594@outlook.com
CUST100039,Kagiso,Jones,1991-07-17,2021-03-18,Pretoria,Entrepreneur,25727.87,639.0,kagiso.jones944@webmail.co.za
CUST100040,Jennifer,Davis,1959-09-08,2015-05-03,Kimberley,Civil Servant,12169.63,659.0,jennifer.davis265@gmail.com
CUST100041,Wei,Brown,1954-03-13,2020-10-13,Nelspruit,Sales Rep,16716.31,554.0,wei.brown859@webmail.co.za
CUST100042,Amara,Rodriguez,1964-04-16,2022-03-23,Cape Town,Driver,75082.71,585.0,amara.rodriguez566@outlook.com
CUST100043,Barbara,Khumalo,1969-04-10,2022-08-18,Kimberley,Technician,67473.92,553.0,barbara.khumalo371@gmail.com
CUST100044,Robert,Silva,1959-12-29,2018-05-11,Kimberley,Retired,38465.86,662.0,robert.silva673@outlook.com
CUST100045,Sofia,Rodriguez,2005-12-06,2020-06-16,Polokwane,Artisan,10535.55,619.0,sofia.rodriguez170@outlook.com
CUST100046,Joseph,Khan,1959-01-04,2022-05-15,Durban,,32340.74,684.0,joseph.khan541@webmail.co.za
CUST100047,Ahmed,Mokoena,1995-09-01,2019-12-17,East London,Sales Rep,33867.74,,ahmed.mokoena958@yahoo.com
CUST100048,Lerato,Miller,1954-09-15,2026-02-21,Nelspruit,,27318.63,635.0,lerato.miller744@gmail.com
CUST100049,Wei,Pretorius,2004-10-16,2023-04-03,Nelspruit,Civil Servant,19110.5,564.0,wei.pretorius671@gmail.com
CUST100050,Wei,Martinez,1958-10-04,2015-06-01,Port Elizabeth,Student,21642.65,667.0,wei.martinez5@yahoo.com
CUST100051,Michael,Brown,1970-09-21,2015-09-04,polokwane  ,Sales Rep,18327.74,503.0,michael.brown372@outlook.com
CUST100052,Barbara,Nkosi,1979-01-27,2022-12-29,Pretoria,Entrepreneur,13533.94,664.0,barbara.nkosi890@outlook.com
CUST100053,Joseph,Pretorius,1952-05-03,2019-12-10,Durban  ,,61058.81,625.0,joseph.pretorius623@gmail.com
CUST100054,JESSICA,Johnson,1994-10-28,2024-09-20,east london,Retired,45678.74,666.0,jessica.johnson670@yahoo.com
CUST100055,Mary,Botha,1961-10-03,2017-01-01,Port Elizabeth,Civil Servant,22675.55,501.0,mary.botha529@webmail.co.za
CUST100056,Naledi,Pretorius,1978-07-04,2015-02-28,Durban,Accountant,33233.28,709.0,naledi.pretorius882@yahoo.com
